Karma,score,author
6185,0,Donkerz85
284,0,Bleglord
1000,0,AutoModerator
1161,0,doggodoesaflipinabox
4634,0,Gasrim4003
1,0,Chillhoof
28456,0,Funny744
1161,0,doggodoesaflipinabox
829,0,-DedSec-
1161,0,doggodoesaflipinabox
829,0,-DedSec-
6045,0,TehNolz
163,0,Aamir28
22923,0,Froggypwns
869,0,N0T8g81n
1066,0,pepsidon
1000,0,AutoModerator
210016,0,pantherghast
16131,0,TostiWee
819,0,harrybarracuda
595,0,abdusacc
1134,1,Anotherday0o
86,0,vivaanmathur
2750,0,GreatMuna
3237,0,princetrigger
794,0,misaalanshori
9390,0,LeVraiRoiDHyrule
4939,0,alien2003
219,0,Charderrr
11,0,Random_Vandal
2859,0,4wh457
5173,0,BredzPro
686,0,DarkNebula1003
219,0,Charderrr
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
16953,0,micro_haila
2244,0,NANOwasFound
70,1,Tardelius
2626,0,ArykMusic
259,0,P1-B0
869,1,N0T8g81n
95,0,Rjiurik
219,0,Charderrr
2551,0,anna_or_elsa
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
2686,0,RulerOf
12169,1,FloatingMilkshake
7523,0,adolfojp
1922,0,Barrdogg2000
9793,0,GALACTON
4949,0,thepackratmachine
6375,0,WackyH
51803,0,aranorde
1,1,Zaconil
68,0,permacolour
1493,0,FstLaneUkraine
55,0,weirdlooking
17738,0,TheJessicator
7523,1,adolfojp
7523,0,adolfojp
29756,0,maffick
3844,0,Cube46_1
2541,1,Wayfinity
4243,1,teamcoyotes1
2642,0,chicagoahu
690,0,Inspiron606002
6,0,TheSzene
233,0,Millennial_Man
1509366,1,tyw7
1,0,Dipiland2
50118,0,andocromn
6200,1,Fabi0_Z
5121,1,Trax852
1,0,nan
9852,0,mitchb13
1,0,Dragonborne2020
6096,0,cd630
1,0,nan
15494,0,chaithzluci
256,0,ShivamKrishnOfficial
256,1,ShivamKrishnOfficial
3509,0,sebastianfs
1981,0,sharch88
10493,0,coffeefuelledtechie
256,0,ShivamKrishnOfficial
256,0,ShivamKrishnOfficial
2065,1,okcboomer87
256,0,ShivamKrishnOfficial
256,0,ShivamKrishnOfficial
67,0,Ahmetdoesreal
2541,0,Wayfinity
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
690,0,Inspiron606002
690,0,Inspiron606002
690,0,Inspiron606002
690,0,Inspiron606002
1,0,nan
3509,1,sebastianfs
690,0,Inspiron606002
1069,0,vasilixx
1,0,DaiShinKuro
8917,0,alirobe
20487,0,Noobgamer0111
625,0,dayChuck
34,1,Junior-Background-41
2024,0,jevans102
1377,0,AlexMelillo
10579,1,Likely_not_Eric
1,0,nan
773,0,ArtyomPozharov
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
8675,0,potato1234_x
6,1,Elfenoo
1,0,sunnetmedia
8870,0,Darkraihs
262,0,Nugger12
11498,0,Derperlicious
4243,0,teamcoyotes1
388,0,A0lipke
7419,0,Metalbender00
4694,0,MinecraftAndOther
30255,0,Computermaster
5035,0,polaarbear
37674,0,JohnDeere6930Premium
4694,0,MinecraftAndOther
446,0,unusedgold
621,0,CrewMemberNumber6
1061,0,Zeddie-
3205,0,WilNotJr
6578,0,UnsafePantomime
2133,0,SimpliEcks
21436,0,spyder52
7364,1,Mormislaw
7,1,Montana-Cavalier-Mom
15,0,Jeltechcomputers
1,0,nan
203,0,snowtr
4859,0,floswamp
1,0,nan
319,0,Metallfalke
319,0,Metallfalke
7364,0,Mormislaw
319,1,Metallfalke
319,0,Metallfalke
319,0,Metallfalke
319,0,Metallfalke
319,0,Metallfalke
319,0,Metallfalke
319,0,Metallfalke
319,0,Metallfalke
621,0,CrewMemberNumber6
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
8,0,Roden72
7364,0,Mormislaw
7,0,Montana-Cavalier-Mom
4859,0,floswamp
1,0,nan
319,1,Metallfalke
319,0,Metallfalke
319,0,Metallfalke
319,0,Metallfalke
319,1,Metallfalke
319,1,Metallfalke
4223,0,ihavesparkypants
319,1,Metallfalke
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
1000,1,AutoModerator
